"filename", "language", "Python", "comment", "blank", "total"
"/Users/robertherring/code/statezero/statezero/__init__.py", "Python", 0, 0, 1, 1
"/Users/robertherring/code/statezero/statezero/adaptors/__init__.py", "Python", 0, 0, 1, 1
"/Users/robertherring/code/statezero/statezero/adaptors/django/__init__.py", "Python", 0, 0, 1, 1
"/Users/robertherring/code/statezero/statezero/adaptors/django/action_serializers.py", "Python", 219, 13, 58, 290
"/Users/robertherring/code/statezero/statezero/adaptors/django/actions.py", "Python", 210, 15, 34, 259
"/Users/robertherring/code/statezero/statezero/adaptors/django/apps.py", "Python", 107, 12, 18, 137
"/Users/robertherring/code/statezero/statezero/adaptors/django/ast_parser.py", "Python", 743, 144, 142, 1029
"/Users/robertherring/code/statezero/statezero/adaptors/django/config.py", "Python", 82, 9, 21, 112
"/Users/robertherring/code/statezero/statezero/adaptors/django/context_manager.py", "Python", 10, 1, 2, 13
"/Users/robertherring/code/statezero/statezero/adaptors/django/db_telemetry.py", "Python", 20, 17, 8, 45
"/Users/robertherring/code/statezero/statezero/adaptors/django/event_bus.py", "Python", 154, 58, 29, 241
"/Users/robertherring/code/statezero/statezero/adaptors/django/event_emitters.py", "Python", 64, 0, 14, 78
"/Users/robertherring/code/statezero/statezero/adaptors/django/exception_handler.py", "Python", 69, 13, 17, 99
"/Users/robertherring/code/statezero/statezero/adaptors/django/extensions/__init__.py", "Python", 0, 0, 1, 1
"/Users/robertherring/code/statezero/statezero/adaptors/django/extensions/custom_field_serializers/__init__.py", "Python", 0, 0, 1, 1
"/Users/robertherring/code/statezero/statezero/adaptors/django/extensions/custom_field_serializers/file_fields.py", "Python", 106, 9, 27, 142
"/Users/robertherring/code/statezero/statezero/adaptors/django/extensions/custom_field_serializers/money_field.py", "Python", 71, 10, 13, 94
"/Users/robertherring/code/statezero/statezero/adaptors/django/extensions/custom_field_serializers/pydantic_field.py", "Python", 24, 19, 11, 54
"/Users/robertherring/code/statezero/statezero/adaptors/django/extensions/simple_history.py", "Python", 17, 32, 6, 55
"/Users/robertherring/code/statezero/statezero/adaptors/django/f_handler.py", "Python", 158, 105, 49, 312
"/Users/robertherring/code/statezero/statezero/adaptors/django/helpers.py", "Python", 74, 56, 23, 153
"/Users/robertherring/code/statezero/statezero/adaptors/django/hook_checks.py", "Python", 64, 8, 14, 86
"/Users/robertherring/code/statezero/statezero/adaptors/django/management/commands/statezero_testserver.py", "Python", 26, 1, 6, 33
"/Users/robertherring/code/statezero/statezero/adaptors/django/middleware.py", "Python", 8, 4, 5, 17
"/Users/robertherring/code/statezero/statezero/adaptors/django/migrations/0001_initial.py", "Python", 26, 1, 7, 34
"/Users/robertherring/code/statezero/statezero/adaptors/django/migrations/0002_delete_modelviewsubscription.py", "Python", 10, 1, 6, 17
"/Users/robertherring/code/statezero/statezero/adaptors/django/migrations/__init__.py", "Python", 0, 0, 1, 1
"/Users/robertherring/code/statezero/statezero/adaptors/django/orm.py", "Python", 361, 94, 78, 533
"/Users/robertherring/code/statezero/statezero/adaptors/django/permission_bound.py", "Python", 291, 41, 80, 412
"/Users/robertherring/code/statezero/statezero/adaptors/django/permission_resolver.py", "Python", 81, 28, 22, 131
"/Users/robertherring/code/statezero/statezero/adaptors/django/permission_utils.py", "Python", 108, 73, 23, 204
"/Users/robertherring/code/statezero/statezero/adaptors/django/permissions.py", "Python", 224, 31, 42, 297
"/Users/robertherring/code/statezero/statezero/adaptors/django/process_request.py", "Python", 166, 27, 37, 230
"/Users/robertherring/code/statezero/statezero/adaptors/django/query_cache.py", "Python", 108, 103, 54, 265
"/Users/robertherring/code/statezero/statezero/adaptors/django/query_optimizer.py", "Python", 473, 248, 89, 810
"/Users/robertherring/code/statezero/statezero/adaptors/django/schemas.py", "Python", 338, 30, 51, 419
"/Users/robertherring/code/statezero/statezero/adaptors/django/search_providers/__init__.py", "Python", 0, 0, 1, 1
"/Users/robertherring/code/statezero/statezero/adaptors/django/search_providers/basic_search.py", "Python", 15, 4, 5, 24
"/Users/robertherring/code/statezero/statezero/adaptors/django/search_providers/postgres_search.py", "Python", 33, 9, 9, 51
"/Users/robertherring/code/statezero/statezero/adaptors/django/serializers.py", "Python", 412, 166, 108, 686
"/Users/robertherring/code/statezero/statezero/adaptors/django/signals.py", "Python", 127, 231, 56, 414
"/Users/robertherring/code/statezero/statezero/adaptors/django/testing.py", "Python", 84, 34, 40, 158
"/Users/robertherring/code/statezero/statezero/adaptors/django/types.py", "Python", 8, 1, 2, 11
"/Users/robertherring/code/statezero/statezero/adaptors/django/urls.py", "Python", 16, 0, 4, 20
"/Users/robertherring/code/statezero/statezero/adaptors/django/utils.py", "Python", 261, 76, 50, 387
"/Users/robertherring/code/statezero/statezero/adaptors/django/views.py", "Python", 454, 79, 113, 646
"/Users/robertherring/code/statezero/statezero/core/__init__.py", "Python", 25, 6, 4, 35
"/Users/robertherring/code/statezero/statezero/core/actions.py", "Python", 108, 16, 26, 150
"/Users/robertherring/code/statezero/statezero/core/classes.py", "Python", 202, 154, 66, 422
"/Users/robertherring/code/statezero/statezero/core/config.py", "Python", 239, 102, 62, 403
"/Users/robertherring/code/statezero/statezero/core/context_storage.py", "Python", 4, 2, 3, 9
"/Users/robertherring/code/statezero/statezero/core/event_emitters.py", "Python", 47, 0, 14, 61
"/Users/robertherring/code/statezero/statezero/core/exceptions.py", "Python", 67, 8, 32, 107
"/Users/robertherring/code/statezero/statezero/core/interfaces.py", "Python", 221, 216, 57, 494
"/Users/robertherring/code/statezero/statezero/core/telemetry.py", "Python", 143, 36, 31, 210
"/Users/robertherring/code/statezero/statezero/core/types.py", "Python", 13, 2, 6, 21
"Total", "-", 6891, 2345, 1681, 10917